Grid Size ,24
 NULL, NodeType, GridX, GridY, Length, Width, Height, PosX, PosY, PosZ
0,0,0,0,-2.0833320618,-2.0833320618,0,-23.9583301544,-23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,1,-2.0833320617,-2.0833320618,0,-21.8749980926,-23.9583339691,0
0,1,1,1,-2.0833320617,-2.0833339691,0,-21.8749980926,-21.8750009537,0
0,1,1,0,-2.0833320618,-2.0833339691,0,-23.9583301544,-21.8750009537,0
0,0,0,1,-2.0833320617,-2.0833320618,0,-21.8749980926,-23.9583339691,0
0,1,1,0,-2.0833320618,-2.0833339691,0,-23.9583301544,-21.8750009537,0
0,1,0,0,-2.0833320618,-2.0833320618,0,-23.9583301544,-23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,2,-2.0833339691,-2.0833320618,0,-19.7916650773,-23.9583339691,0
0,1,1,2,-2.0833339691,-2.0833339691,0,-19.7916650773,-21.8750009537,0
0,1,1,1,-2.0833320617,-2.0833339691,0,-21.8749980926,-21.8750009537,0
0,0,0,2,-2.0833339691,-2.0833320618,0,-19.7916650773,-23.9583339691,0
0,1,1,1,-2.0833320617,-2.0833339691,0,-21.8749980926,-21.8750009537,0
0,1,0,1,-2.0833320617,-2.0833320618,0,-21.8749980926,-23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,3,-2.0833320618,-2.0833320618,0,-17.7083320618,-23.9583339691,0
0,1,1,3,-2.0833320618,-2.0833339691,0,-17.7083320618,-21.8750009537,0
0,1,1,2,-2.0833339691,-2.0833339691,0,-19.7916650773,-21.8750009537,0
0,0,0,3,-2.0833320618,-2.0833320618,0,-17.7083320618,-23.9583339691,0
0,1,1,2,-2.0833339691,-2.0833339691,0,-19.7916650773,-21.8750009537,0
0,1,0,2,-2.0833339691,-2.0833320618,0,-19.7916650773,-23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,4,-2.0833330155,-2.0833320618,0,-15.6249995231,-23.9583339691,0
